tool,sample,signature,browserExposure,localExposure,absoluteDifference
deconstructsigs,SP50412,SBS7d,0.032815814805778526,0.032815814805778526,0
deconstructsigs,SP50412,SBS8,0.1141367702005441,0.1141367702005441,0
deconstructsigs,SP50412,SBS84,0,0,0
deconstructsigs,SP50412,SBS85,0.05363594762160854,0.05363594762160854,0
deconstructsigs,SP50412,SBS9,0,0,0
deconstructsigs,SP50485,SBS1,0.16854172472243303,0.16854172472243303,0
deconstructsigs,SP50485,SBS10a,0,0,0
deconstructsigs,SP50485,SBS10b,0.003461380057962221,0.003461380057962221,0
deconstructsigs,SP50485,SBS11,0,0,0
deconstructsigs,SP50485,SBS12,0.02638979716050051,0.02638979716050051,0
deconstructsigs,SP50485,SBS13,0,0,0
deconstructsigs,SP50485,SBS14,0,0,0
deconstructsigs,SP50485,SBS15,0.017069135568544204,0.017069135568544204,0
deconstructsigs,SP50485,SBS16,0.03755164423390061,0.03755164423390061,0
deconstructsigs,SP50485,SBS17a,0,0,0
deconstructsigs,SP50485,SBS17b,0,0,0
deconstructsigs,SP50485,SBS18,0.039888770278698506,0.039888770278698506,0
deconstructsigs,SP50485,SBS19,0.019745243728886704,0.019745243728886704,0
deconstructsigs,SP50485,SBS2,0.015844842021449205,0.015844842021449205,0
deconstructsigs,SP50485,SBS20,0,0,0
deconstructsigs,SP50485,SBS21,0,0,0
deconstructsigs,SP50485,SBS22,0,0,0
deconstructsigs,SP50485,SBS23,0,0,0
deconstructsigs,SP50485,SBS24,0.004249452050120561,0.004249452050120561,0
deconstructsigs,SP50485,SBS25,0,0,0
deconstructsigs,SP50485,SBS26,0,0,0
deconstructsigs,SP50485,SBS27,0,0,0
deconstructsigs,SP50485,SBS28,0,0,0
deconstructsigs,SP50485,SBS29,0,0,0
deconstructsigs,SP50485,SBS3,0,0,0
deconstructsigs,SP50485,SBS30,0.03313557296839251,0.03313557296839251,0
deconstructsigs,SP50485,SBS31,0,0,0
deconstructsigs,SP50485,SBS32,0.013037651731030803,0.013037651731030803,0
deconstructsigs,SP50485,SBS33,0,0,0
deconstructsigs,SP50485,SBS34,0,0,0
deconstructsigs,SP50485,SBS35,0.020351263547750402,0.020351263547750402,0
deconstructsigs,SP50485,SBS36,0.023090234168364004,0.023090234168364004,0
deconstructsigs,SP50485,SBS37,0.005214663654725411,0.005214663654725411,0
deconstructsigs,SP50485,SBS38,0,0,0
deconstructsigs,SP50485,SBS39,0.015930287511578205,0.015930287511578205,0
deconstructsigs,SP50485,SBS4,0,0,0
deconstructsigs,SP50485,SBS40,0.08622663757706102,0.08622663757706102,0
deconstructsigs,SP50485,SBS41,0.030790610980220207,0.030790610980220207,0
deconstructsigs,SP50485,SBS42,0.008713513357981461,0.008713513357981461,0
deconstructsigs,SP50485,SBS43,0,0,0
deconstructsigs,SP50485,SBS44,0,0,0
deconstructsigs,SP50485,SBS45,0,0,0
deconstructsigs,SP50485,SBS46,0,0,0
deconstructsigs,SP50485,SBS47,0,0,0
deconstructsigs,SP50485,SBS48,0,0,0
deconstructsigs,SP50485,SBS49,0,0,0
deconstructsigs,SP50485,SBS5,0.27921262695754206,0.27921262695754206,0
deconstructsigs,SP50485,SBS50,0.018119212609516402,0.018119212609516402,0
deconstructsigs,SP50485,SBS51,0.008117589270366871,0.008117589270366871,0
deconstructsigs,SP50485,SBS52,0,0,0
deconstructsigs,SP50485,SBS53,0,0,0
deconstructsigs,SP50485,SBS54,0,0,0
deconstructsigs,SP50485,SBS55,0,0,0
deconstructsigs,SP50485,SBS56,0,0,0
deconstructsigs,SP50485,SBS57,0,0,0
deconstructsigs,SP50485,SBS58,0.004777558662840471,0.004777558662840471,0
deconstructsigs,SP50485,SBS59,0,0,0
deconstructsigs,SP50485,SBS6,0,0,0
deconstructsigs,SP50485,SBS60,0,0,0
deconstructsigs,SP50485,SBS7a,0.03928128474427121,0.03928128474427121,0
deconstructsigs,SP50485,SBS7b,0,0,0
deconstructsigs,SP50485,SBS7c,0,0,0
deconstructsigs,SP50485,SBS7d,0,0,0
deconstructsigs,SP50485,SBS8,0.052544345429307214,0.052544345429307214,0
deconstructsigs,SP50485,SBS84,0.0025734108951475806,0.0025734108951475806,0
deconstructsigs,SP50485,SBS85,0.026141546111408606,0.026141546111408606,0
deconstructsigs,SP50485,SBS9,0,0,0
deconstructsigs,SP50518,SBS1,0.10102173421578199,0.10102173421578199,0
deconstructsigs,SP50518,SBS10a,0.00880724139244031,0.00880724139244031,0
deconstructsigs,SP50518,SBS10b,0.00274387864916577,0.00274387864916577,0
deconstructsigs,SP50518,SBS11,0,0,0
deconstructsigs,SP50518,SBS12,0.00915359056858688,0.00915359056858688,0
deconstructsigs,SP50518,SBS13,0.034924264158104,0.034924264158104,0
deconstructsigs,SP50518,SBS14,0.000059472572141091796,0.000059472572141091796,0
deconstructsigs,SP50518,SBS15,0.0217773424453293,0.0217773424453293,0
deconstructsigs,SP50518,SBS16,0.00140732638291279,0.00140732638291279,0
deconstructsigs,SP50518,SBS17a,0,0,0
deconstructsigs,SP50518,SBS17b,0,0,0
deconstructsigs,SP50518,SBS18,0.0172204573689446,0.0172204573689446,0
deconstructsigs,SP50518,SBS19,0.0190494345030598,0.0190494345030598,0
deconstructsigs,SP50518,SBS2,0.0330993209972279,0.0330993209972279,0
deconstructsigs,SP50518,SBS20,0,0,0
deconstructsigs,SP50518,SBS21,0,0,0
deconstructsigs,SP50518,SBS22,0,0,0
deconstructsigs,SP50518,SBS23,0,0,0
deconstructsigs,SP50518,SBS24,0,0,0
deconstructsigs,SP50518,SBS25,0.0384730606787757,0.0384730606787757,0
deconstructsigs,SP50518,SBS26,0,0,0
deconstructsigs,SP50518,SBS27,0,0,0
deconstructsigs,SP50518,SBS28,0,0,0
deconstructsigs,SP50518,SBS29,0.029434159554474197,0.029434159554474197,0
deconstructsigs,SP50518,SBS3,0,0,0
deconstructsigs,SP50518,SBS30,0,0,0
deconstructsigs,SP50518,SBS31,0,0,0
deconstructsigs,SP50518,SBS32,0,0,0
deconstructsigs,SP50518,SBS33,0,0,0
deconstructsigs,SP50518,SBS34,0,0,0
deconstructsigs,SP50518,SBS35,0,0,0
deconstructsigs,SP50518,SBS36,0,0,0
deconstructsigs,SP50518,SBS37,0,0,0
deconstructsigs,SP50518,SBS38,0,0,0
deconstructsigs,SP50518,SBS39,0.0370887528592059,0.0370887528592059,0
deconstructsigs,SP50518,SBS4,0.0164494820740722,0.0164494820740722,0
